"date","AAPL","MSFT","AMZN"
2022-07-25,152.949996948242,258.829986572266,121.139999389648
2022-07-26,151.600006103516,251.899993896484,114.809997558594
2022-07-27,156.789993286133,268.739990234375,120.970001220703
2022-07-28,157.350006103516,276.410003662109,122.279998779297
2022-07-29,162.509994506836,280.739990234375,134.949996948242
2022-08-01,161.509994506836,278.010009765625,135.389999389648
2022-08-02,160.009994506836,274.820007324219,134.160003662109
2022-08-03,166.130004882812,282.470001220703,139.520004272461
2022-08-04,165.809997558594,283.649993896484,142.570007324219
2022-08-05,165.350006103516,282.910003662109,140.800003051758
2022-08-08,164.869995117188,280.320007324219,139.410003662109
2022-08-09,164.919998168945,282.299987792969,137.830001831055
2022-08-10,169.240005493164,289.160003662109,142.690002441406
2022-08-11,168.490005493164,287.019989013672,140.639999389648
2022-08-12,172.100006103516,291.910003662109,143.550003051758
2022-08-15,173.190002441406,293.470001220703,143.179992675781
2022-08-16,173.029998779297,292.709991455078,144.779998779297
2022-08-17,174.550003051758,291.320007324219,142.100006103516
2022-08-18,174.149993896484,290.170013427734,142.300003051758
2022-08-19,171.520004272461,286.149993896484,138.229995727539
2022-08-22,167.570007324219,277.75,133.220001220703
2022-08-23,167.229995727539,276.440002441406,133.619995117188
2022-08-24,167.529998779297,275.790008544922,133.800003051758
2022-08-25,170.029998779297,278.850006103516,137.279998779297
2022-08-26,163.619995117188,268.089996337891,130.75
2022-08-29,161.380004882812,265.230010986328,129.789993286133
2022-08-30,158.910003662109,262.970001220703,128.729995727539
2022-08-31,157.220001220703,261.470001220703,126.769996643066
2022-09-01,157.960006713867,260.399993896484,127.819999694824
2022-09-02,155.809997558594,256.059997558594,127.51000213623
2022-09-06,154.529998779297,253.25,126.110000610352
2022-09-07,155.960006713867,258.089996337891,129.479995727539
2022-09-08,154.460006713867,258.519989013672,129.820007324219
2022-09-09,157.369995117188,264.459991455078,133.270004272461
2022-09-12,163.429992675781,266.649993896484,136.449996948242
2022-09-13,153.839996337891,251.990005493164,126.819999694824
2022-09-14,155.309997558594,252.220001220703,128.550003051758
2022-09-15,152.369995117188,245.380004882812,126.279998779297
2022-09-16,150.699996948242,244.740005493164,123.529998779297
2022-09-19,154.479995727539,244.520004272461,124.660003662109
2022-09-20,156.899993896484,242.449996948242,122.190002441406
2022-09-21,153.720001220703,238.949996948242,118.540000915527
2022-09-22,152.740005493164,240.979995727539,117.309997558594
2022-09-23,150.429992675781,237.919998168945,113.779998779297
2022-09-26,150.770004272461,237.449996948242,115.150001525879
2022-09-27,151.759994506836,236.410003662109,114.410003662109
2022-09-28,149.839996337891,241.070007324219,118.01000213623
2022-09-29,142.479995727539,237.5,114.800003051758
2022-09-30,138.199996948242,232.899993896484,113
2022-10-03,142.449996948242,240.740005493164,115.879997253418
2022-10-04,146.100006103516,248.880004882812,121.089996337891
2022-10-05,146.399993896484,249.199996948242,120.949996948242
2022-10-06,145.429992675781,246.789993286133,120.300003051758
2022-10-07,140.089996337891,234.240005493164,114.559997558594
2022-10-10,140.419998168945,229.25,113.669998168945
